MUNICIPIO,LATITUD,LONGITUD,Producción (t),Crecimiento 2022,% Act. primarias municipio,% Act. secundarias municipio,% Act. terciarias municipio,pobl. con pregrado municipio,Valor agregado 2022,% pobl. con pregrado municipio,Peso relativo municipal en el valor agregado departamental (%),Potencial de exportación
Municipio 706,-33.69342301392146,-68.20932251271067,5782,23.64515164550966,9,29,62,60,590427,50,0,No
Municipio 330,-84.68179082446294,-1.2767077801157711,1993,46.00298015555855,25,91,-16,19,117069,28,55,No
Municipio 404,11.457264672182873,-72.21467604180216,2659,41.99414542019905,47,34,19,17,369603,73,84,Sí
Municipio 511,42.299868869626266,65.69297250114835,157,8.57000843012139,29,2,69,27,737112,23,60,No
Municipio 525,63.7794351504123,-148.16049104104795,9236,19.395435802185858,18,12,70,44,515993,48,38,No
Municipio 529,-29.89863895189302,89.74262770207042,4472,41.74484458734377,82,29,-11,4,705475,5,17,Sí
Municipio 975,28.54687344150463,124.86302571145222,383,46.05893626913911,12,43,45,15,245067,52,35,No
Municipio 487,47.199251127274266,-18.55590695493501,7674,34.85135170952267,38,35,27,64,950107,62,6,Sí
Municipio 504,56.58952826344287,157.8963748941348,4712,4.961590640761288,59,9,32,42,676348,75,26,No
Municipio 332,35.11338131655462,147.51844923622025,3200,43.66299548606774,38,38,24,18,550034,47,1,Sí
Municipio 457,89.06972414953225,47.375897296446624,9572,5.325600453707446,60,32,8,66,466445,57,28,No
Municipio 692,33.56479866961868,-32.46132198567224,9813,28.34382183377561,76,43,-19,1,498033,2,16,No
Municipio 850,-78.64685483353497,-136.16039306668887,8273,34.826231207303046,47,21,32,48,198797,98,41,Sí
Municipio 566,78.66857935389154,-56.538770017061765,4917,47.13015147557457,35,49,16,12,867919,33,76,Sí
Municipio 662,-58.87401722154569,139.1688428056405,9733,4.245083503728564,64,59,-23,39,379871,67,44,No
Municipio 900,-22.589318312766267,165.07564127096498,3316,25.150182505980368,69,99,-68,14,457313,7,9,No
Municipio 29,60.004140758636254,-10.553666995070358,3763,37.00773333184525,32,79,-11,11,992567,69,60,Sí
Municipio 815,53.604753684256764,170.03926763788388,4318,19.5908350024379,57,35,8,95,778908,75,32,No
Municipio 352,33.90381115576878,-10.765347715318228,4081,24.2167564777646,57,26,17,33,582374,13,5,No
Municipio 560,60.6231226416256,-63.93104672318296,1189,7.795462178000351,69,79,-48,89,574415,31,94,No
Municipio 568,-42.45726205838162,-6.944159264548119,3239,36.4791572012408,93,3,4,53,887144,28,42,Sí
Municipio 841,-34.001753722397,-44.1219378969744,750,19.920436200216113,86,13,1,61,669252,68,22,No
Municipio 571,74.06119278529232,24.749538019718955,2622,48.13482747271391,24,66,10,71,472267,84,56,Sí
Municipio 305,-77.13702231166059,143.3203922429222,5789,46.66080655059943,95,73,-68,72,821944,94,71,Sí
Municipio 862,-1.8543427261395635,138.44049903454322,9237,17.11962362633769,35,72,-7,96,669257,99,45,No
Municipio 683,33.99751504284032,107.63346868515288,7986,4.7537986911346755,78,5,17,70,425792,85,14,No
Municipio 345,28.70780817289922,-102.66860058614519,7551,26.49364407465915,57,66,-23,32,797015,54,2,No
Municipio 812,-86.75003892372072,41.64631855592489,6090,31.477977684494192,4,12,84,68,402533,11,30,No
Municipio 213,70.12511334282868,151.9598623841531,564,29.435594317959357,4,7,89,11,833519,36,89,No
Municipio 783,45.68725933851874,50.94961994956921,9363,47.37086022119051,75,31,-6,53,434074,91,85,Sí
Municipio 26,-59.189373931563566,-46.3910643036719,9118,39.720845900354426,16,17,67,87,125639,55,16,Sí
Municipio 448,-86.87737409930571,58.33889740828698,5341,32.74330916199349,34,81,-15,62,311896,63,24,No
Municipio 258,81.28367010624427,-112.6598878110657,5409,49.22569030422174,70,33,-3,58,566330,30,27,Sí
Municipio 771,53.35199273305335,-65.02508678069884,2657,4.362689527718705,46,61,-7,36,737800,53,50,No
Municipio 190,24.07491393609908,-93.36592018057527,4183,1.5470003482635053,23,11,66,7,608730,85,16,No
Municipio 61,12.082520106815124,-166.16843104353558,5729,49.05950147827362,77,76,-53,72,801958,10,7,Sí
Municipio 141,-27.896011265656966,-126.9276427508987,7913,49.70047786894939,92,77,-69,14,621764,47,10,Sí
Municipio 947,-42.35318310561212,88.78968595005563,3922,21.10286725303209,97,41,-38,20,307847,44,76,No
Municipio 953,-59.22602994720357,136.63520791843945,1169,27.370771641338816,62,4,34,14,341112,68,49,No
Municipio 30,0.6528141689921654,-95.47913914086647,9688,49.179515852680986,78,54,-32,49,925419,83,11,Sí
Municipio 823,-76.22365374417458,-0.13305624246112302,6754,44.427793335100255,0,70,30,13,735024,26,73,Sí
Municipio 139,19.927996990856045,99.01543772477771,6539,34.25872195511375,66,76,-42,49,116038,92,28,Sí
Municipio 604,21.708254124004583,153.36905586829937,5127,38.41375185861276,88,57,-45,3,296982,92,98,Sí
Municipio 704,-50.86701407126796,-9.936648921905288,954,12.080422160510174,65,47,-12,90,220631,29,88,No
Municipio 183,-45.507642125977036,-26.95282785022843,2931,13.823899266276646,96,21,-17,38,933395,26,60,No
Municipio 848,-24.634702687421367,150.5621546217211,9183,35.25992894569308,48,19,33,33,109646,41,22,Sí
Municipio 629,-3.1744203728095783,-174.81639077842863,3422,1.654953948400456,95,59,-54,32,646029,49,86,No
Municipio 183,-58.55892580276476,117.62950117693396,7305,26.861525783820728,46,31,23,29,795272,24,31,No
Municipio 709,35.989775994445,-63.25036665177544,520,28.17374930228393,44,12,44,62,936205,81,97,No
Municipio 836,20.237480567156908,41.17764324749811,6680,7.724417598796107,5,14,81,83,425136,40,88,No
Municipio 870,-11.32047399043256,-17.96147913758992,2089,15.340283753317069,34,8,58,33,568139,32,15,No
Municipio 789,-43.16891978588404,36.64162086893913,4512,17.542062648567807,50,62,-12,53,795329,62,40,No
Municipio 205,27.147851369188174,109.4084856526946,3860,38.33706866537221,26,21,53,30,957481,39,99,Sí
Municipio 601,-23.211303706513007,-164.44424226884243,7505,9.758697683371759,98,97,-95,12,591426,49,4,No
Municipio 446,-13.117227741075055,175.92122596000883,8654,26.86884867777715,77,97,-74,19,775886,38,15,No
Municipio 317,-54.34786403111056,-173.7183296993602,8589,3.31742496661796,74,99,-73,46,360147,84,47,No
Municipio 605,69.77959413295301,-158.486088568589,2915,33.17286992357635,61,91,-52,74,598308,90,43,No
Municipio 418,-16.56377419208677,-4.954692043366492,3017,45.233988822895036,38,98,-36,95,931573,0,68,Sí
Municipio 868,-45.78838648249625,-80.66998014908312,3871,15.876647035627961,11,58,31,55,334650,7,57,No
Municipio 892,17.104178100315536,-0.5277354418747393,6936,38.25641932579706,61,34,5,88,432520,54,93,Sí
Municipio 244,72.73756621974638,90.47772532838894,204,2.400881606939614,91,6,3,1,726012,43,60,No
Municipio 57,-31.07356300608484,-127.9904027648065,2615,18.31753725099639,5,51,44,12,800382,73,34,No
Municipio 863,7.6365743826227686,29.102670761255467,4074,32.01607261193957,94,49,-43,29,337638,28,97,No
Municipio 136,69.91085412114492,-175.48500396691816,9569,41.69339211434113,23,85,-8,51,624382,52,8,Sí
Municipio 408,-2.501270960209453,-83.3499050223578,7622,2.264569802028249,16,25,59,5,884495,36,14,No
Municipio 858,-50.65370092081059,-134.2138163019249,1328,35.12766494615561,23,79,-2,47,731810,29,6,No
Municipio 445,55.76383320041373,-113.56717776465551,3356,0.735545257235054,59,66,-25,97,445677,26,57,No
Municipio 392,3.5801754522500175,-133.1177925173963,9302,24.804883685486278,71,20,9,47,721264,67,13,No
Municipio 375,32.02292027011322,-102.7821305311447,3326,33.601458888870475,22,33,45,54,618221,55,83,No
Municipio 571,26.76457428950563,-94.41238197280491,423,12.409684144965794,69,96,-65,26,974204,13,61,No
Municipio 99,-88.88034799409236,-26.477254550624906,9234,10.857341369539341,18,17,65,32,673424,31,99,No
Municipio 770,-14.77237261530253,-60.64114829036622,1446,40.04829293933247,87,93,-80,44,830823,33,28,No
Municipio 363,50.51799788430617,-155.75962804010456,7630,38.99815463699657,60,39,1,88,393948,84,10,Sí
Municipio 731,-82.5884029491281,168.2344104673291,5391,26.0621569356697,95,46,-41,19,132702,17,56,No
Municipio 804,-36.600146151001844,-101.95304196296703,5986,13.110713250553168,2,23,75,44,739116,80,63,No
Municipio 146,33.55863724890534,165.989504911675,5187,34.75385988912927,9,10,81,72,219662,73,30,Sí
Municipio 995,81.74874779234906,69.00417804854874,9140,43.97635306205957,4,8,88,67,430794,6,8,Sí
Municipio 925,-74.54369112745836,14.369533494533329,6580,10.836508639358588,64,37,-1,65,986520,41,22,No
Municipio 589,-50.660563940565694,-175.95579147346146,9293,37.96994663689187,33,99,-32,12,849231,99,14,Sí
Municipio 677,5.662379467144987,-27.91714033971968,6999,47.625568454399236,88,46,-34,71,680156,18,35,Sí
Municipio 546,-55.77006127767195,32.39154726680829,9480,38.150761292570444,3,82,15,11,917126,6,42,Sí
Municipio 148,-44.01193198519869,-175.3739477354593,9084,0.3365037194638043,36,81,-17,80,971016,53,78,No
Municipio 280,-53.477513708023515,52.10036169844551,7227,49.73634848554837,59,89,-48,85,693325,51,56,Sí
Municipio 181,-51.02080406995425,-116.93574211887736,5902,36.80056047820928,27,50,23,30,150029,26,12,Sí
Municipio 135,31.143334358953993,32.56940494133016,8607,12.356298971642609,81,63,-44,68,859368,75,88,No
Municipio 490,-4.467476708275143,54.524368172347266,8099,14.330263378302071,61,84,-45,31,786895,91,5,No
Municipio 111,-72.03649972435535,26.648714398971947,5250,49.2429435651074,67,87,-54,57,643917,32,66,Sí
Municipio 982,32.963044734192636,-112.57042746473422,6406,11.239557009217622,65,99,-64,18,433525,74,54,No
Municipio 935,24.74809513197866,-81.1922365376536,1824,46.8270124594718,67,7,26,76,936678,42,54,No
Municipio 109,27.112581437621714,170.69826577060314,7386,27.272403535589778,50,19,31,60,902841,40,54,No
Municipio 975,-40.07178206693925,121.37251912730363,6638,6.04752843518313,12,81,7,0,985054,76,79,No
Municipio 765,-84.27921512507349,-0.5012154054797406,5507,15.910494454884155,28,19,53,3,293047,93,0,No
Municipio 874,-21.08207893933003,-30.34955152826811,3412,35.01007583733934,30,70,0,68,684751,1,68,Sí
Municipio 361,-34.6441937729558,-63.659319817178755,3429,6.670371056671353,28,32,40,34,432207,83,77,No
Municipio 429,70.46624052564803,-113.96739391121626,6853,36.28846163231001,37,42,21,14,340209,68,30,Sí
Municipio 132,-9.925951208281475,2.3134222822131107,6254,39.49714583678819,25,35,40,54,399359,48,15,Sí
Municipio 715,-43.909657288713284,162.49248088877704,492,4.589962934992381,56,31,13,12,264282,18,56,No
Municipio 414,-73.93647119242863,-30.27887589819116,6410,3.094642571106604,75,50,-25,45,484360,50,85,No
Municipio 146,-62.782778457331986,-74.17836301633285,2707,13.461649965885918,23,71,6,55,519009,21,34,No
Municipio 326,5.2477828767934795,-104.59047984801227,8466,17.07874912759546,83,59,-42,1,983641,25,4,No
Municipio 655,19.771060622570488,154.797357458281,1315,1.5798226715597885,9,48,43,20,297326,44,81,No
Municipio 423,-6.255469091410404,121.66969114605968,4384,31.643782674497263,0,83,17,53,445066,56,33,No
Municipio 676,27.200690773980654,-2.394767305143091,8666,25.6213536856296,95,21,-16,26,857955,34,74,No
Municipio 316,38.355295881363105,142.01249295018886,3108,26.04608716362341,59,93,-52,5,331680,63,16,No
Municipio 620,10.924376965376482,-139.03673224294317,4801,21.356471830391115,21,95,-16,85,479270,15,53,No
Municipio 513,59.589484882028046,-15.937848023272096,4063,2.435777966361552,70,4,26,4,297167,3,69,No
Municipio 512,23.263349872221397,-126.27148855073804,4856,6.463721874389733,3,73,24,74,643914,66,22,No
Municipio 926,-74.35975266013082,-175.630616603905,4270,41.88857857434796,14,87,-1,44,150837,36,93,Sí
Municipio 162,62.144464824684235,-152.49467130159266,4106,22.165329858436163,20,83,-3,75,629461,81,47,No
Municipio 353,-43.11808842926613,59.27753464873521,5873,19.003705203863262,7,50,43,41,754159,89,17,No
Municipio 360,17.775719317221615,-137.1293369396265,9832,37.368354278806216,96,59,-55,11,119397,80,85,Sí
Municipio 143,-19.006087475490958,-27.567508573875244,7502,48.57059780197277,47,28,25,55,263273,17,19,Sí
Municipio 745,-61.87584636572457,-53.66161496240187,9151,21.848182080947232,12,25,63,90,520174,25,14,No
Municipio 403,21.66600377771023,-9.081211404106,1707,21.781335020244025,41,91,-32,63,339307,92,62,No
Municipio 356,3.6856550265560912,-116.44423535595115,5742,29.148253627081782,2,69,29,71,269502,6,14,No
Municipio 874,89.70992116218108,12.047788005340095,4811,48.2396783898958,44,40,16,54,278285,1,73,Sí
Municipio 606,43.86858484823853,177.34492796044685,8470,24.808576416242595,48,63,-11,88,187879,48,23,No
Municipio 232,26.434691603692485,73.43568052035837,9904,40.1425461068887,79,94,-73,42,235778,51,97,Sí
Municipio 477,-50.066599999289565,168.23189290782113,3264,32.04128482463058,3,50,47,74,142866,44,21,No
Municipio 186,-41.50623895478093,-132.62197113820378,9731,22.594225995766532,73,16,11,86,660867,39,33,No
Municipio 468,-15.964152205211718,-169.02268040361272,4364,42.724119938267584,88,93,-81,55,911703,44,19,Sí
Municipio 56,67.91580432688573,14.35544244630367,6731,44.19949840701848,31,18,51,74,627039,18,28,Sí
Municipio 883,-56.28864825491642,-149.1348481554969,3249,2.4307346246292716,46,23,31,67,748161,52,66,No
Municipio 181,23.35356925387893,-59.40876675701263,859,10.978605013871507,34,2,64,85,616299,99,21,No
Municipio 16,-3.1514932158156057,102.00576133010117,3425,36.62916608930434,38,65,-3,4,319679,62,5,Sí
Municipio 803,45.8822119057192,-123.96681442948875,5570,42.59443225298477,16,87,-3,41,147428,36,55,Sí
Municipio 364,-52.457545276112796,97.85444069653244,6520,15.816026842878788,8,12,80,77,180154,94,12,No
Municipio 700,-37.78358467935044,29.34854906353945,1977,0.5723874246738814,22,54,24,43,171883,18,96,No
Municipio 340,77.81853544858023,83.89273529750159,9274,7.093845229037921,34,92,-26,84,742574,45,13,No
Municipio 993,40.40130721306056,28.72677217959793,2390,25.34576658468516,26,2,72,26,214939,78,1,No
Municipio 754,50.700321685013705,-148.15862053477272,6822,35.89519916402718,89,22,-11,38,107566,68,67,Sí
Municipio 72,13.937334650784123,-28.083927697901373,6601,28.55040450353861,30,43,27,39,374649,27,2,No
Municipio 522,-16.871741645712603,82.4453041219918,7525,7.304681979055971,71,56,-27,42,762907,94,4,No
Municipio 83,84.05555725920075,-122.63080810020057,340,32.12502008964606,36,91,-27,61,730845,20,21,No
Municipio 327,-19.18555427004503,106.06722998570837,8366,30.644737825142432,5,78,17,17,771916,52,99,No
Municipio 311,-35.250678571061236,-103.78101795330092,2854,23.03455255615504,70,72,-42,78,195643,34,22,No
Municipio 84,33.916942910322334,-165.11047413369292,1443,7.523449019817862,51,30,19,73,832096,32,65,No
Municipio 933,25.741718458609952,-86.22004687881153,3816,9.00982063289703,28,67,5,75,623086,35,79,No
Municipio 121,63.82880086501538,121.29209314183947,3603,38.561878274255236,4,64,32,13,450569,94,80,Sí
Municipio 241,84.33659541497076,-11.409310341563014,3955,37.933439342454705,8,94,-2,80,565049,37,6,Sí
Municipio 449,64.57453729075831,-111.0831606307383,1218,5.074102197935576,87,1,12,44,989642,8,52,No
Municipio 993,76.90360987941878,133.4883459188951,7651,45.86328526336137,67,65,-32,42,467679,56,98,Sí
Municipio 92,-75.2706938208983,116.19822672740906,7589,17.730087853612233,12,67,21,33,755776,53,33,No
Municipio 753,-79.00254172345053,-170.18236305265214,6788,49.21056534095671,58,97,-55,49,484131,83,5,Sí
Municipio 103,-85.75390541486802,-92.20257570013293,174,34.89483104319462,58,96,-54,80,598103,76,82,No
Municipio 295,-6.998053801540806,81.95113344359083,3928,4.622862822358598,53,69,-22,25,360036,55,29,No
Municipio 111,33.68587622007699,50.77427977602957,7613,39.09913834971823,56,64,-20,55,328564,38,13,Sí
Municipio 800,61.00980951538867,149.42820841900772,8960,42.88034255214307,81,7,12,6,465869,60,36,Sí
Municipio 298,-82.80562014844574,159.1567698015961,2945,24.09464963848623,85,67,-52,55,150464,48,80,No
Municipio 259,78.34448026270258,145.4142893202157,4833,28.452880938361915,31,12,57,7,713139,36,53,No
Municipio 598,40.92657041369432,54.88453899978012,9630,37.57095460784916,78,25,-3,18,908810,16,11,Sí
Municipio 369,-83.62581537898666,137.61159901546154,2519,37.42991197554568,94,15,-9,45,227423,62,97,Sí
Municipio 50,30.782501244241587,-98.65339532468616,2267,3.7794291431433424,8,31,61,7,994592,2,34,No
Municipio 906,2.886133473990924,-84.1814376397616,1758,43.08971387186201,35,28,37,82,966499,63,10,No
Municipio 660,75.10663077405871,112.00357658790347,2916,49.88958015419643,73,23,4,52,840028,84,60,Sí
Municipio 639,88.4851019610858,-37.82826099688356,1585,16.48447127568081,66,99,-65,72,385928,76,84,No
Municipio 506,-73.97259299919051,-126.94123976230317,6665,22.32181125695602,81,77,-58,45,942273,18,74,No
Municipio 766,28.78716677356428,7.2035059351883035,1923,23.609185258397435,71,90,-61,54,153981,9,3,No
Municipio 460,10.262275596956144,155.28760286261502,2017,22.842057851296165,33,56,11,74,870494,3,21,No
Municipio 224,-8.59516269842527,-19.101178946009924,7222,25.49313349044181,45,58,-3,91,463702,71,80,No
Municipio 838,-44.326418710960745,-117.03524217686845,1401,8.321281389803465,0,87,13,75,528903,62,20,No
Municipio 499,89.46137391197925,-125.13030586871656,5922,39.46364260163575,25,61,14,7,555835,76,6,Sí
Municipio 906,32.12346911146372,124.25563061995575,9673,38.65491197124965,9,80,11,65,958001,60,31,Sí
Municipio 667,1.6882084107427886,51.96401136003405,5025,44.88049307049737,52,62,-14,15,437183,98,44,Sí
Municipio 25,63.02686931646727,-93.56603866312257,9510,29.126389719341205,75,28,-3,65,121377,89,81,No
Municipio 632,56.613866241004104,-136.4147446893522,5749,18.349012118409025,34,4,62,36,430448,13,7,No
Municipio 198,13.310205527366207,41.773054086267706,8417,47.81092725546354,84,33,-17,82,272591,75,86,Sí
Municipio 208,19.472021806980152,160.6314154773337,6584,29.79736301009861,94,33,-27,10,228508,98,96,No
Municipio 53,-20.825967971732183,-165.1980234742461,5660,40.72784846231495,45,79,-24,52,476266,96,40,Sí
Municipio 20,71.44466604364754,24.11771715525674,972,41.640389069049824,57,71,-28,42,443360,57,44,No
Municipio 885,78.58366262337756,157.17731984035174,4812,10.248488296283654,81,54,-35,52,908494,40,1,No
Municipio 495,-52.7355701598331,-162.59540138640222,6830,31.935551084830248,20,77,3,58,442010,36,48,No
Municipio 440,31.940739305765135,-10.28058121345893,5245,7.490918423191434,19,80,1,68,769735,46,96,No
Municipio 96,-80.79482181773828,52.324455068730686,6253,45.5038073638811,14,56,30,90,420843,84,34,Sí
Municipio 904,-39.93272520224833,85.4213505310023,6355,6.583244696885271,55,19,26,69,230688,77,75,No
