MUNICIPIO,LATITUD,LONGITUD,Producción (t),Crecimiento 2022,% Act. primarias municipio,% Act. secundarias municipio,% Act. terciarias municipio,pobl. con pregrado municipio,Valor agregado 2022,% pobl. con pregrado municipio,Peso relativo municipal en el valor agregado departamental (%),Producto
Municipio 409,-84.718847653124,-122.32083624580439,1315,44.12474547288199,11,1,88,50,107648,27,63,tomate
Municipio 727,-37.10405315044566,126.36493807917839,8313,0.33891139999945863,94,12,-6,28,374457,60,70,caña de azúcar
Municipio 737,-78.3844387623869,-47.56592582168534,5689,20.64210491793508,36,83,-19,18,909761,49,70,tomate
Municipio 958,35.64068845985098,50.16657963179915,6157,44.32030260165216,15,4,81,31,755495,25,15,otros
Municipio 161,-69.41877657011607,-168.06642304861703,7001,21.255980288171155,9,2,89,79,696364,61,6,otros
Municipio 946,55.517090415323196,41.45345582984049,5689,35.89017037479824,50,71,-21,64,727577,27,68,caña de azúcar
Municipio 442,-33.2361406122353,-166.14425419186622,8093,2.5897511523069126,22,78,0,31,916336,63,13,arroz
Municipio 795,-44.21723057394315,-160.48336210448576,6788,6.084872694048399,71,13,16,45,399261,57,40,otros
Municipio 339,-1.0311355392544783,-159.3426444671302,433,42.76595538042408,48,31,21,50,412544,43,4,otros
Municipio 634,67.63697823446097,-157.81899555799242,9771,45.979008573121575,61,86,-47,24,702119,19,45,papa
Municipio 722,-15.411111387994211,-32.51804686598365,3701,36.209550794944015,78,32,-10,49,180741,4,73,yuca
Municipio 427,54.45626403709858,106.98833836027461,4200,48.74108172724693,81,84,-65,57,488068,35,89,otros
Municipio 709,55.57246473340879,97.70770792267717,3041,0.27648346577253125,84,88,-72,49,902718,51,97,arroz
Municipio 35,-64.80074276573262,137.72847266959167,4128,6.6736796279037724,7,31,62,98,516994,15,13,café
Municipio 465,28.448749982318347,-169.58669831989008,6682,31.65899373275476,44,90,-34,97,551780,91,26,café
Municipio 223,-10.257963099939573,-140.42107263723943,7903,32.86693721022292,69,60,-29,21,384019,52,36,café
Municipio 774,38.79319173923204,-172.2252536466641,1949,16.738790083124723,34,63,3,2,995539,78,77,tomate
Municipio 908,-4.201466765904087,-69.96829397673658,4361,32.88204939929263,80,31,-11,22,572143,23,5,caña de azúcar
Municipio 664,80.36988340747811,-93.57824436890901,7089,43.03515253631054,20,56,24,62,234602,55,94,arroz
Municipio 861,39.71202052793177,120.88188660704583,2153,13.040754560885748,20,96,-16,40,132317,4,73,frutas tropicales
Municipio 207,6.242637487148954,159.92546747087522,9034,10.979617559366622,8,64,28,51,745090,54,59,papa
Municipio 101,-4.899015947224996,54.79416845749108,6531,42.51169952823283,90,39,-29,63,598393,71,82,papa
Municipio 766,77.26711865133507,175.42688179464966,6289,29.744248870780936,70,52,-22,55,574331,9,76,frutas tropicales
Municipio 660,4.277888408028701,-59.36290700617569,2518,48.54937668299676,60,65,-25,21,468225,64,39,yuca
Municipio 364,9.718526767522562,75.75243923948358,6055,30.570557703155355,13,69,18,46,578913,7,12,café
Municipio 815,67.60484397308107,-2.8324206286521303,1157,20.56195284816405,14,97,-11,79,514343,62,60,frutas tropicales
Municipio 975,4.396782937911382,23.273433126524765,6027,15.304576439912005,3,75,22,29,957403,72,60,papa
Municipio 756,-47.828255140281186,30.850902558926435,5262,35.389521916643936,99,97,-96,75,632717,9,69,frutas tropicales
Municipio 938,85.74707425024837,-129.64801094093244,7882,8.69820705643019,87,94,-81,86,113670,67,71,arroz
Municipio 135,-37.29681174508722,170.28521134634644,8263,27.674653597949046,22,80,-2,56,357320,62,64,papa
Municipio 702,-28.840082610876664,172.8817642715229,2440,44.48408785435132,50,79,-29,12,634177,41,34,tomate
Municipio 463,50.62329040737421,-56.721767058708764,5026,20.67041128186602,53,36,11,22,255080,37,46,caña de azúcar
Municipio 576,-43.23082741263824,-65.23350059754335,5802,4.979672237883253,66,17,17,40,124920,2,92,arroz
Municipio 749,81.74589041770903,129.72685631203865,5431,31.72672382995515,92,89,-81,92,620544,18,29,frutas tropicales
Municipio 745,85.1982038103342,-71.51443510275735,2489,7.956729797441897,77,7,16,54,517979,65,90,frutas tropicales
Municipio 182,4.720014912418762,170.4211879485028,3080,33.4249211502228,52,57,-9,8,299700,47,19,café
Municipio 691,31.561632346296136,-74.5475794567788,6555,10.219488686007805,40,44,16,68,425888,12,21,caña de azúcar
Municipio 281,67.8697888165282,172.49828338240872,422,45.880360598280774,50,25,25,85,305842,50,53,arroz
Municipio 665,-81.8725338556487,-81.43500602155034,334,5.337620863601838,95,87,-82,83,997664,0,88,café
Municipio 426,49.53647996543421,-1.2880228714788302,2864,33.14190804675602,66,15,19,66,720538,68,37,arroz
Municipio 931,75.68205384056307,-83.55916871160058,7598,30.561267745647314,93,6,1,73,446786,46,50,frutas tropicales
Municipio 708,2.03035664197472,-21.398447150553324,6005,6.061978812540453,29,28,43,96,990489,50,33,otros
Municipio 187,37.75153483018326,-66.65057336443272,6827,2.3215803145728406,94,8,-2,66,319368,92,13,tomate
Municipio 703,-23.94861904389556,-5.035400694033797,1907,19.92718670131749,24,66,10,53,169115,79,36,frutas tropicales
Municipio 707,-22.260070592886905,103.33215596427249,5682,38.99673852616192,83,18,-1,41,140158,18,87,yuca
Municipio 733,7.87108978790144,-108.80345045857844,9197,15.84094217329256,32,13,55,41,467905,95,44,caña de azúcar
Municipio 616,-88.29583878258923,21.43237768904308,6280,24.66689194861701,95,57,-52,83,704415,49,60,café
Municipio 926,-52.86851485176577,-19.782846663177708,5373,38.78550344874396,71,94,-65,25,379601,84,1,frutas tropicales
Municipio 205,-82.93426773039772,-152.07167502839414,7633,32.17658691030105,56,30,14,13,461160,41,2,papa
Municipio 57,41.49737885829916,33.00031251594885,242,37.728248291573884,45,72,-17,52,597227,43,74,caña de azúcar
Municipio 301,4.882060861460005,-45.6897778317807,4660,10.50200881106385,31,22,47,70,508801,53,53,papa
Municipio 345,-45.03874372639348,78.2638135713936,6996,47.588028871702804,91,5,4,52,929197,96,50,arroz
Municipio 959,-22.473570762257935,109.51300017540137,4923,10.611604531458823,79,25,-4,42,180787,15,68,frutas tropicales
Municipio 311,52.35156577058339,-4.622701716710111,7530,25.83477576899627,25,40,35,62,332296,78,56,tomate
Municipio 819,53.63217759127593,10.237354795721672,6094,22.55678391519163,4,49,47,69,904434,73,21,arroz
Municipio 157,-27.440305465584935,68.04232514358668,1468,13.581582743458087,7,91,2,75,783136,30,41,caña de azúcar
Municipio 746,35.903228161723476,-110.3876698497863,280,41.92696770017167,49,16,35,54,191138,90,25,otros
Municipio 805,-85.67445661796869,82.33700015896545,1810,7.637828648596895,86,44,-30,73,522101,59,5,otros
Municipio 596,-58.97863112569719,-116.64569723656157,9591,42.321380049975225,69,37,-6,82,796130,45,78,yuca
Municipio 895,-80.1331275347946,-136.16366601123352,3300,23.902114250440437,36,53,11,70,179614,73,79,café
Municipio 366,-57.55762471713403,-95.61270530669589,1297,36.4896935107028,75,85,-60,56,509044,48,79,frutas tropicales
Municipio 125,-53.031146705095004,64.31294732160859,9432,45.65926606238709,75,49,-24,73,618382,99,42,tomate
Municipio 756,63.68548273865974,82.98349455200093,4540,8.56016069582432,17,6,77,6,959133,6,17,yuca
Municipio 834,65.11058812233281,-128.0847467892774,7605,37.34850795207535,5,14,81,65,217007,33,99,papa
Municipio 337,52.016610259999595,115.66766782262323,5469,23.082767112876613,92,17,-9,0,848470,99,89,frutas tropicales
Municipio 320,85.29523764371416,97.51372705085771,4966,12.770875551957966,77,57,-34,94,172316,38,72,arroz
Municipio 288,62.07510690125005,11.951596410862265,1416,10.942803809516043,56,34,10,93,105913,45,2,arroz
Municipio 203,-67.3490965356508,61.685371472307224,9361,5.352173150545825,30,28,42,85,985061,56,11,yuca
Municipio 511,0.24103019726995,-146.85561699086853,3039,34.088258975669675,26,66,8,11,159928,71,92,otros
Municipio 830,26.762472394698477,70.06101348046079,8041,30.337598551611944,14,87,-1,49,837499,55,49,caña de azúcar
Municipio 704,-84.9719217625525,61.486274522736124,788,35.80624961219131,42,10,48,33,311591,76,19,tomate
Municipio 577,-68.34863811083741,-91.80597302002654,3257,22.613126783226043,48,93,-41,68,576576,28,37,café
Municipio 802,25.40242780000837,17.33552820891387,8905,21.327342994306765,13,20,67,77,716730,21,0,otros
Municipio 104,58.593216013868215,143.73806799187616,7903,29.748006320074687,93,51,-44,9,634002,17,91,papa
Municipio 894,-77.50621199562292,29.2409411772162,731,16.322070913736603,60,21,19,71,897344,51,18,yuca
Municipio 623,-54.91687637924585,-147.33731622145854,9689,38.21348569834511,90,15,-5,59,622194,54,67,arroz
Municipio 435,-70.75405691998981,164.09013421020524,898,43.293733009311694,51,26,23,60,441781,94,44,yuca
Municipio 844,-25.29373878532489,32.12223928800307,7079,23.36846893003711,98,65,-63,2,106144,45,8,arroz
Municipio 606,76.76542182082753,-137.75674070278146,1505,6.319281332244387,68,30,2,9,950863,39,26,papa
Municipio 683,-19.439304273166456,116.67979224035275,6659,1.5181879832007472,48,83,-31,8,287228,87,49,otros
Municipio 976,64.06337687857993,75.16674857764326,3092,10.82410210796293,32,92,-24,62,702925,62,25,café
Municipio 465,74.8991287568206,-108.79305291792593,1154,38.464736510999906,53,91,-44,80,592978,31,80,café
Municipio 204,-45.292538239852625,139.13041374035862,3642,21.690580341951243,52,12,36,77,659287,19,72,frutas tropicales
Municipio 987,52.08322194388168,151.31316502777332,9858,28.37918933210207,74,0,26,45,581297,94,49,otros
Municipio 785,24.815066039058536,-103.90230799398634,894,28.24550152912944,76,63,-39,29,796184,10,87,papa
Municipio 633,-46.593917660210266,165.18849228564784,7893,42.85441495975859,49,33,18,82,194788,80,49,papa
Municipio 297,8.207584688566087,102.74379978241654,4902,31.00184636748424,1,17,82,55,891397,77,11,caña de azúcar
Municipio 429,73.76725718184315,-119.58279447994974,7499,16.736103448446983,87,42,-29,92,200461,52,34,tomate
Municipio 834,-79.73561464467659,138.81156380570178,6511,8.53828101925062,79,85,-64,90,917370,84,8,caña de azúcar
Municipio 620,31.532363958855456,162.70625889817586,4494,33.00734185379437,84,75,-59,95,318044,6,88,café
Municipio 953,-34.819644061413214,131.02739772001058,9382,48.71925096938694,49,56,-5,64,908011,35,22,arroz
Municipio 334,37.61630832286444,-46.47048427517532,5071,34.05196245474155,77,76,-53,48,403885,82,78,otros
Municipio 510,42.78958840972683,-128.06052019807967,9721,45.26579489213066,29,58,13,49,714131,80,68,yuca
Municipio 480,-64.85441528471179,164.65852745920768,1668,32.51849685385699,98,13,-11,80,288395,41,3,caña de azúcar
Municipio 261,77.82128296459132,76.78622249502797,5360,4.282316114677731,3,55,42,21,247034,63,27,café
Municipio 563,39.22794859523387,95.31496414838875,2799,18.93024428385649,88,1,11,61,732291,46,36,yuca
Municipio 486,-2.079601607817807,77.60612513589956,4896,11.090792642652575,23,72,5,90,197624,74,43,otros
Municipio 205,-66.19829551615379,-36.84628411537116,6980,3.451510527195606,80,51,-31,40,180724,80,85,papa
Municipio 406,21.428045790628502,157.74476627427237,135,2.2622853336571658,3,88,9,40,774785,23,9,frutas tropicales
Municipio 522,-74.54847132767858,-127.2929530261814,9033,46.72620531920175,59,14,27,73,880079,36,80,yuca
Municipio 467,-68.71851461403901,134.22882577379107,9071,45.230036783754805,52,1,47,85,958906,46,56,caña de azúcar
Municipio 45,-12.084712518589583,124.15692537151682,6662,7.56534546014826,29,3,68,73,208538,16,0,café
Municipio 337,41.3100148103164,126.30109598411673,1329,24.615415835922725,43,72,-15,9,671088,16,16,café
Municipio 104,-8.26205236073703,-48.15664094609946,1510,3.1295210880795734,13,43,44,4,924778,67,85,caña de azúcar
Municipio 393,17.038255229734716,-99.94779346891467,590,1.8651415518522063,68,17,15,6,953408,71,83,frutas tropicales
Municipio 977,9.580116236371865,77.2671842565336,4431,36.93490455041424,7,24,69,39,676694,62,26,caña de azúcar
Municipio 224,-29.015881961346032,115.27134141788076,4989,43.48032791892112,54,81,-35,60,225876,34,73,caña de azúcar
Municipio 729,82.77914147826701,-117.61976235248679,4822,8.073495551659605,49,97,-46,12,952059,55,83,caña de azúcar
Municipio 37,-75.20361992944035,-73.27826743295726,1905,27.09432375663884,1,53,46,74,530520,43,65,tomate
Municipio 803,-32.63447009242417,-93.76257158306666,1362,22.837076327540718,73,80,-53,96,931604,22,67,caña de azúcar
Municipio 610,-62.70506981585889,-134.96213657262217,3627,7.630190767636858,90,85,-75,25,286135,92,2,arroz
Municipio 38,-5.351568472395101,156.55059319991557,3060,17.616017946754347,29,85,-14,5,282943,67,41,caña de azúcar
Municipio 567,-23.95588008268804,-50.609969401928396,9204,0.4121999043913138,2,78,20,76,986612,50,7,otros
Municipio 532,-63.659860933016155,-74.2829578411433,257,42.91901470795668,70,96,-66,79,908762,27,98,papa
Municipio 549,-43.89965008482567,26.309706268715672,7217,47.647263567638284,30,20,50,56,864483,76,0,arroz
Municipio 34,60.423081261868646,140.20488196683812,3606,8.892392779673319,21,49,30,13,860566,30,57,arroz
Municipio 695,26.563495166131275,140.43857024193215,3034,38.84150145568007,92,30,-22,50,325309,82,30,arroz
Municipio 895,-32.121555355687114,-147.9644489822776,4764,38.61010839180971,70,52,-22,18,783232,65,54,caña de azúcar
Municipio 630,-19.72459996446814,171.76303337000917,3966,48.3572526014867,99,21,-20,39,791285,60,24,yuca
Municipio 22,-0.6531638823775694,77.33464419167876,3074,3.0494696747401626,78,57,-35,84,985218,29,14,arroz
Municipio 864,16.92994264804429,-123.32560812083574,9903,21.703887089991074,36,65,-1,24,776777,87,59,otros
Municipio 46,22.91658280485572,-46.25476962499968,3032,24.634096885435973,14,66,20,52,197762,91,35,café
Municipio 930,7.020386639898277,-79.30914893909036,1979,9.041788427741764,38,89,-27,82,800250,4,93,arroz
Municipio 433,-55.02768235272241,-82.98255059980937,3216,49.710394258923706,80,77,-57,57,558682,57,75,caña de azúcar
Municipio 222,55.15010599463852,90.3952328277532,1294,27.624602610125336,39,25,36,89,376491,37,53,otros
Municipio 445,77.24797230028432,87.73659772852432,6946,34.0542867230862,97,23,-20,50,622825,37,84,arroz
Municipio 668,-65.42693487686827,75.45482291574115,2649,24.787477105009632,55,54,-9,88,988066,43,15,frutas tropicales
Municipio 980,-33.81724934491178,102.58927981463955,5294,28.258638828881864,12,23,65,8,654007,61,98,tomate
Municipio 71,77.51886048911084,-54.791515446390164,178,25.251313116000794,2,11,87,23,913963,73,73,café
Municipio 77,45.858798014661744,65.1785660086735,4658,3.1745356883006948,91,33,-24,42,339357,33,76,café
Municipio 781,60.81217936009796,62.68043869176583,6966,2.4552902826082414,23,36,41,10,625733,24,91,café
Municipio 760,-40.40776711462565,-8.017133156391822,1230,9.784905615839023,85,29,-14,88,194761,50,48,tomate
Municipio 144,-0.8675939306636309,-6.805892772650907,9444,10.836507574999349,59,86,-45,5,775677,28,58,caña de azúcar
Municipio 561,-34.358867965090546,-19.65489256824054,7895,48.66708311022669,19,4,77,97,435805,46,40,caña de azúcar
Municipio 811,-38.915017773232506,-159.0992689307658,7611,43.11827236707787,39,94,-33,14,353320,38,90,frutas tropicales
Municipio 754,-41.09865550150054,-34.737842400128216,1041,17.12687866912005,62,83,-45,7,408127,66,59,caña de azúcar
Municipio 814,86.75580781711088,8.521883784370715,2613,39.95176162979657,55,17,28,84,679767,27,0,caña de azúcar
Municipio 868,57.55089889857331,-100.60559354963654,2750,38.84612818274968,81,45,-26,38,833510,25,94,otros
Municipio 102,19.7921074973915,52.32260510001319,3829,12.177739346305911,67,0,33,81,796047,63,95,arroz
Municipio 203,75.60700214347588,-124.55317398759959,742,10.14694096495728,36,63,1,40,809800,13,34,caña de azúcar
Municipio 143,-61.83380069754659,-174.29695480703913,2502,16.34531934427198,95,78,-73,0,483762,52,2,tomate
Municipio 333,5.026167744981095,173.98335235881842,613,12.814123561525648,19,10,71,18,324609,89,88,papa
Municipio 428,-59.3783666616671,-32.7472604905133,7139,24.488919702145985,70,77,-47,60,234297,50,79,yuca
Municipio 726,-64.46965210610168,-31.348770909106918,6442,25.46985034012942,44,87,-31,3,413629,34,15,tomate
Municipio 958,6.512602105812803,36.345397493058044,4414,13.670593983653484,46,36,18,95,647397,10,31,otros
Municipio 276,-38.962524032136876,24.508779038825423,9669,35.93929197670916,42,27,31,87,677200,62,88,yuca
Municipio 637,0.7792480578552698,51.1845856788066,3288,26.094089861611746,63,8,29,15,354629,22,49,caña de azúcar
Municipio 598,-22.643060810757262,-60.900366103101206,7962,28.947289702115736,28,27,45,14,141017,68,98,tomate
Municipio 269,-51.206904424080754,37.880341650213126,9797,7.49506078105302,61,77,-38,6,580214,70,43,yuca
Municipio 163,-32.44412406587497,-124.92011271180189,6793,14.811668160745961,92,87,-79,3,117413,69,89,papa
Municipio 37,-58.99246323186035,10.362631920943102,3484,34.9602948374719,16,23,61,87,727185,63,52,papa
Municipio 590,54.534320460321766,-152.93725183663452,8876,4.738753070399299,56,22,22,40,935958,5,68,otros
Municipio 531,14.287419964128759,-82.96418200869486,7905,11.440658854372398,16,43,41,20,315921,78,49,caña de azúcar
Municipio 312,-35.400639184790414,-96.54305557947436,4548,18.150511964048842,96,92,-88,63,698491,31,69,papa
Municipio 35,-15.121784934472842,178.02686538641797,8086,42.90689553680346,63,14,23,97,195737,59,78,caña de azúcar
Municipio 901,-32.606574630128,38.0087239662941,8626,36.01950339508453,17,50,33,32,891963,6,88,tomate
Municipio 186,62.50815870798118,57.88912380688464,7272,27.97352182536404,43,0,57,41,494215,58,61,frutas tropicales
Municipio 21,85.12499086640426,-77.20047871689728,3798,32.76560156063581,93,12,-5,14,219862,62,25,tomate
Municipio 542,-7.300977972567367,-179.87583931488194,4706,4.149934281673251,90,86,-76,71,404782,9,42,otros
Municipio 84,48.76786489343928,-5.421779296380322,922,38.15207067010202,37,92,-29,25,845612,67,33,caña de azúcar
Municipio 718,46.43960457047319,50.134744222093985,7430,31.996119751798414,84,40,-24,73,803225,12,34,yuca
Municipio 357,-87.56896832997586,-164.14865912625552,7185,27.20090395721149,79,34,-13,11,285068,21,26,caña de azúcar
Municipio 442,-52.637782543162224,-46.31383245378879,3094,43.89741130707798,46,23,31,59,146263,19,27,tomate
Municipio 860,-45.14534702104025,133.7237099861988,4726,48.38699231755578,7,88,5,11,219696,44,43,tomate
Municipio 131,-53.01707802261999,-55.97613547337804,695,9.607617118565702,70,71,-41,32,281539,8,25,arroz
Municipio 506,-51.399304214086094,16.534366061039577,3514,22.656120492516102,7,17,76,36,219564,19,68,yuca
Municipio 929,27.00972254206215,63.25244815995998,1340,22.852362552862665,16,16,68,9,763676,20,70,café
Municipio 61,61.942680444099466,-118.23002891267873,6765,48.11510432752688,70,22,8,40,393717,34,9,arroz
Municipio 707,28.402342691668224,-154.5799521957664,5613,49.251047451413996,54,86,-40,67,187180,23,42,caña de azúcar
Municipio 378,-78.94783413340366,-153.918815182186,7480,10.106471948165897,90,38,-28,63,322555,41,68,tomate
Municipio 71,-73.32626602481933,-14.004446263598197,6117,34.21444473671239,74,59,-33,2,199468,48,95,frutas tropicales
Municipio 856,34.19040523654658,28.63953058305023,2113,36.30577070985399,90,39,-29,20,726837,85,58,arroz
Municipio 743,-3.0158678474080034,142.4990709530556,9572,46.84654952427794,22,47,31,56,203935,70,28,café
Municipio 749,82.92673251701163,78.26848860814277,5869,24.084736882373786,67,42,-9,62,671058,61,70,frutas tropicales
Municipio 1,-35.27834348191397,79.78238213627287,1179,17.296330838737674,30,68,2,20,956471,11,49,tomate
Municipio 665,47.083786942360774,40.35287399680621,7051,22.78312427400384,18,76,6,24,985022,32,80,frutas tropicales
Municipio 627,-87.80731773340094,-25.971338880717127,5538,48.328420285202476,43,70,-13,14,565215,44,79,arroz
Municipio 696,72.42611506862065,-31.139194003148702,4299,15.982104434283285,44,16,40,13,554193,0,82,papa
Municipio 272,-57.182062428544825,98.91850841129963,3824,33.67122424655946,60,78,-38,31,426499,62,24,arroz
Municipio 687,-22.08671909397009,-47.54694972824751,417,1.7429394386121566,51,95,-46,34,871979,42,66,tomate
Municipio 802,-39.25749979811656,22.071580428255402,466,36.18139399596949,85,9,6,85,460238,42,17,arroz
Municipio 259,87.70585061131698,35.97220236426108,923,23.466724373108818,76,36,-12,20,967209,40,12,yuca
Municipio 969,4.597486185433269,-32.475120854836575,6592,16.396192068303417,65,6,29,48,197160,22,7,tomate
Municipio 530,-54.99575489268304,165.45934611137704,556,25.401121121558745,29,57,14,54,832650,5,27,yuca
Municipio 312,40.68468258269908,65.77450002610976,149,6.669546407487337,94,36,-30,97,507291,41,44,café
Municipio 610,81.7321282415042,-15.47894814836647,4763,43.08739961001506,14,52,34,73,238955,54,9,caña de azúcar
Municipio 261,14.37649104381488,139.0038580497308,7150,27.287389517298227,30,35,35,42,564879,89,63,otros
Municipio 505,79.74553463742978,-55.773886595034426,9428,0.7157165608328242,89,93,-82,31,410153,96,75,arroz
Municipio 865,74.65360358733864,70.48237904370103,9851,28.402385672178426,90,66,-56,2,214192,9,96,caña de azúcar
Municipio 101,35.81277010453185,-29.996239405400843,1299,38.66344678792,34,88,-22,71,531566,38,12,arroz
Municipio 195,13.908803285695754,-77.52201582859342,4068,19.235922778529357,89,59,-48,39,493500,77,55,tomate
Municipio 450,-11.83424752222065,-26.514203407780855,782,20.398801117392544,35,23,42,30,591962,38,63,caña de azúcar
Municipio 732,-69.78825145064584,-107.3268681576724,2607,45.056120458581425,53,57,-10,17,722148,9,53,otros
Municipio 113,-76.90211335311903,-58.46207517603003,4289,42.59334872253929,63,28,9,85,454954,16,4,caña de azúcar
Municipio 52,-29.474335738937775,57.2241613896079,7521,37.31356766974788,38,14,48,43,788750,3,7,caña de azúcar
Municipio 691,13.524146803541711,-30.76109480637544,4880,42.33424521101462,79,93,-72,78,942434,44,97,café
Municipio 172,62.98866532836624,-148.39338035527186,4216,48.50256381296938,51,51,-2,43,235461,64,76,café
Municipio 858,-78.89216749966593,-117.10091923824791,7232,49.15846538335262,69,52,-21,92,182291,79,65,arroz
Municipio 307,-87.59741587969074,-89.70614052246954,8001,7.333355186795326,68,28,4,96,607709,59,1,tomate
Municipio 990,22.33223756843141,-130.1591245042054,9951,43.46120264548191,48,47,5,2,916940,94,33,tomate
Municipio 831,71.88005505575279,87.71808751592476,4210,47.61011236452164,79,76,-55,14,263596,93,27,otros
Municipio 890,64.83298561866707,-50.07929369493718,6441,30.983641496186493,97,36,-33,99,633228,30,54,papa
Municipio 362,-40.57593329486084,8.970218651167187,3954,6.468519143263246,24,62,14,52,497151,66,27,yuca
Municipio 348,12.589860538272319,179.76780149734583,7689,20.759797212505077,13,26,61,59,438891,31,57,café
Municipio 289,-51.03827288234155,-30.762468281808566,2410,18.62478671151857,55,34,11,8,822586,67,28,papa
Municipio 768,32.64186909252615,-166.02213483069488,8029,45.168880857183325,54,99,-53,31,781038,75,39,frutas tropicales
Municipio 739,44.67668273669952,-140.29865491087668,6756,26.43366238592349,3,56,41,2,205334,14,97,yuca
Municipio 420,76.94783377600231,-15.133936777317047,2683,21.18587708539922,68,24,8,15,283794,79,68,papa
Municipio 823,85.02285947331339,-141.1390200169556,1354,1.5450281574209745,94,81,-75,89,366061,76,4,arroz
Municipio 987,16.108154357217472,-171.02464144738912,8955,12.492153692668046,85,19,-4,84,558127,77,66,papa
Municipio 161,64.76822553265868,-138.3001771475282,7084,42.72339334690358,72,19,9,12,171970,22,91,café
Municipio 247,64.8819833930288,147.36577898222845,8957,7.800038290502415,22,57,21,79,492735,56,53,yuca
Municipio 665,-89.6615329541433,-169.73092899502734,7233,17.534002527485427,46,97,-43,29,507064,15,29,arroz
Municipio 211,43.46939613859115,167.83831447305056,3202,28.039084310705658,72,18,10,92,992758,35,14,yuca
Municipio 910,54.68699939191646,37.064287989130236,9014,34.37264673872809,75,3,22,36,553670,47,64,otros
Municipio 87,-50.62589654392484,113.17093423927116,9373,48.21262494227151,24,48,28,37,556586,28,59,tomate
Municipio 746,-47.795718829394076,-86.51054792306408,6273,16.454258641189778,23,34,43,91,258551,40,11,tomate
Municipio 399,51.75137393631442,118.66223981199357,7599,45.01666569795205,7,77,16,78,871033,75,66,papa
Municipio 308,-18.65001094844689,98.94616666410775,8676,0.2329490761498576,73,69,-42,81,570055,12,4,tomate
Municipio 284,6.172837265883345,-112.13620042388239,2977,42.881714818230115,99,26,-25,33,309365,99,68,arroz
